#clade_name	NCBI_tax_id	additional_species	DM055	LG050	DM093	LG049	LG006	LG043	DM004	DM057	DM025	LG023	LG030	DM001	DM063	DM074	LG052	LG045	DM065	DM008	LG025	DM046	LG038	DM019	LG046	DM007	DM087	DM051	LG026	LG034	DM002	LG001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	2|1239|186801|186802|186803|		3.81559	2.42517	3.42059	2.119	2.05063	3.04879	2.48486	5.43688	4.41471	0.84828	2.60729	3.81383	4.01009	1.04879	4.20654	1.549	2.80555	1.69615	2.56043	2.04063	1.56846	1.04843	1.0321	1.13584	1.02024	0.18628	2.73036	2.6851	1.39424	0.16745
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2|976|200643|171549|815|816		2.70619	3.33534	6.33592	0.01009	0.04568	11.40519	2.3921	0.06975	0.12852	0.06509	0.99013	0.91355	0.5352	0.85514	0.45403	3.12682	0.33242	4.51587	0.12714	0.52332	9.57389	0.51072	17.24999	0.19405	9.69787	3.00148	3.87383	1.51706	0.30724	1.76923
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera	2|1239|909932|1843489|31977|906		1.95218						0.0212	0.01665	0.11034	0.07055			0.00275	3.78603	0.59677		0.70691	0.73676	0.01964	0.00128		1.49611		0.47651		0.28743			0.04832	0.00548
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium	2|1239|526524|526525|128827|135858		1.87658			0.51111	2.83217		1.24314		0.70594	0.58887			1.41624	1.04467	1.21995	0.46154	1.42318	2.25383	0.41892	0.76147		0.49538		2.12551	0.5227	0.48967			1.7558	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	2|1239|186801|186802|541000|216851		1.81314	0.92909	5.27766	3.27634	1.90346	2.87864	2.82615	5.73486	1.46884	2.0085	2.82036	2.06253	2.88866	3.11994	2.11645	0.52361	3.75055	3.22617	1.14754	1.01535	2.63057	1.84585	8.40156	3.85565	4.10811	2.54159	2.42727	3.71202	2.28751	6.18474
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Mitsuokella	2|1239|909932|909929|1843491|52225		1.55294			0.02052			0.21898	1.20869	0.51218	1.55402			0.52037	1.94721	1.74602			0.5635				0.55566		0.527					8.6753	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus	2|1224|28216|80840|995019|1980697		1.2517	0.1652			0.15905			0.00065	2.54586		0.80685	0.02002				0.06182	0.0432			0.32684					0.22494					
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister	2|1239|909932|1843489|31977|39948		1.17393															0.00073		0.11893										1.90175		
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	2|1239|186801|186802|186803|572511		0.90407	0.48041	4.21863	0.67746	2.49687	2.29743	1.18368	1.83082	1.09103	0.4288	0.68093	0.59373	1.46371	0.80318	0.82073	0.21938	1.18829	1.71634	0.36116	0.65506	2.31774	0.58965	2.34494	2.11729	7.28238	0.7892	1.35093	0.51696	2.3146	2.93299
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola	2|976|200643|171549||909656		0.79384	6.03968	6.28665	0.03179	0.0028	42.91336	1.14621	0.04772	0.0983	0.09989	3.157	1.05569	0.49192	1.0588	0.36419	1.17809	0.81334	4.85134		0.03416	10.30109	0.77777	20.41004	0.10352	2.22753	4.63611	15.40294	3.85564	0.4078	2.0673
